Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
1,20.984604,3227,2024-01-22 20:42:59,52.23012,029,1
15,20.98779,3228,2024-01-22 20:42:56,52.2193,4,1
4,21.019474,3229,2024-01-22 20:42:58,52.172634,8,1
4,20.99891,3230,2024-01-22 19:39:43,52.1869,013,1
9,20.94374,3231,2024-01-22 20:42:57,52.175854,6,1
33,21.00528,3232,2024-01-22 20:42:55,52.216183,15,1
17,20.931875,3233,2024-01-22 20:43:00,52.29943,7,1
4,21.000208,3234,2024-01-22 20:42:58,52.187828,012,1
9,20.999256,3235,2024-01-22 19:47:40,52.18776,021,1
33,20.929897,3236,2024-01-22 20:42:54,52.291775,016,1
17,20.999022,3237,2024-01-22 17:56:52,52.18702,22,1
2,20.93054,3238,2024-01-22 18:36:08,52.29921,022,1
1,21.02209,3239,2024-01-22 20:42:55,52.298553,26,1
33,20.930473,3240,2024-01-22 19:23:09,52.2989,9,1
4,21.030828,3241,2024-01-22 20:42:58,52.282078,1,1
9,21.078344,3242,2024-01-22 20:42:57,52.243538,3,1
18,21.009327,3243,2024-01-22 20:42:57,52.28212,6,1
9,20.998913,3244,2024-01-22 19:10:05,52.186928,11,1
4,20.998983,3245,2024-01-22 18:19:37,52.187473,5,1
9,21.02974,3246,2024-01-22 20:42:58,52.23362,018,1
1,20.976723,3247,2024-01-22 20:42:56,52.21117,7,1
17,20.998936,3248,2024-01-22 18:19:34,52.187576,3,1
18,21.005009,3249,2024-01-22 20:42:57,52.259396,014,1
9,21.03037,3250,2024-01-22 20:42:58,52.23376,7,1
9,20.998878,3251,2024-01-22 19:36:30,52.187145,020,1
4,21.021824,3252,2024-01-22 20:43:00,52.17889,015,1
1,20.972391,3253,2024-01-22 19:19:33,52.231865,9,1
1,20.931362,3254,2024-01-22 19:43:54,52.29952,030,1
7,21.05413,3257,2024-01-22 20:05:00,52.25528,5,1
18,21.022892,3258,2024-01-22 20:42:55,52.205246,1,1
3,21.054636,3259,2024-01-22 19:51:48,52.25598,7,1
9,20.969881,3260,2024-01-22 20:42:57,52.203445,022,1
15,20.965853,3261,2024-01-22 20:42:55,52.19886,1,1
17,20.930342,3262,2024-01-22 18:45:43,52.29908,013,1
24,20.93087,3263,2024-01-22 20:17:39,52.29902,012,1
1,21.025734,3264,2024-01-22 20:42:55,52.265335,27,1
1,20.987017,3265,2024-01-22 20:42:56,52.227406,5,1
24,20.971882,3266,2024-01-22 20:22:37,52.232677,1,1
17,21.00048,3267,2024-01-22 20:42:56,52.185905,034,1
18,21.007517,3268,2024-01-22 20:42:57,52.236855,5,1
1,20.998892,3269,2024-01-22 19:04:12,52.187252,031,1
17,20.985126,3270,2024-01-22 20:42:54,52.25166,26,1
4,20.998924,3272,2024-01-22 19:34:10,52.18667,10,1
1,20.977785,3273,2024-01-22 20:42:54,52.23946,28,1
28,20.900908,3274,2024-01-22 20:42:58,52.23863,10,1
18,20.998901,3276,2024-01-22 19:35:49,52.18745,7,1
33,21.004765,3277,2024-01-22 20:42:57,52.22276,021,1
33,20.929869,3278,2024-01-22 18:55:45,52.298786,11,1
9,21.084478,3279,2024-01-22 20:42:59,52.244625,10,1
1,21.014769,3280,2024-01-22 20:42:58,52.30976,24,1
1,20.931492,3281,2024-01-22 17:46:44,52.29951,030,1
24,20.971796,3282,2024-01-22 20:42:57,52.23773,3,1
3,21.025991,3284,2024-01-22 20:42:51,52.28052,2,1
15,20.943806,3285,2024-01-22 20:42:56,52.175995,010,1
9,21.084932,3286,2024-01-22 20:42:56,52.24459,024,1
24,20.970278,3287,2024-01-22 20:43:00,52.232285,2,1
35,20.998013,3288,2024-01-22 20:42:57,52.253292,4,1
24,20.92604,3289,2024-01-22 20:42:55,52.261047,6,1
22,20.97306,3291,2024-01-22 10:40:59,52.23256,8,1
23,20.973381,3292,2024-01-22 19:55:09,52.23195,7,1
35,20.972887,3293,2024-01-22 18:48:06,52.23189,6,1
17,21.002127,3295,2024-01-22 20:42:58,52.183674,27,1
15,20.93155,3503,2024-01-22 18:15:45,52.299137,3,1
33,20.930908,3504,2024-01-22 20:42:56,52.29958,8,1
2,20.931728,3505,2024-01-22 17:57:08,52.299404,022,1
2,20.93122,3506,2024-01-22 18:15:53,52.298912,08,1
2,20.943731,3602,2024-01-22 20:42:56,52.322884,08,1
15,21.00078,3603,2024-01-21 17:14:41,52.18713,7,1
9,21.119247,3605,2024-01-22 20:43:00,52.23811,1,1
9,20.999283,3606,2024-01-22 20:01:37,52.186985,16,1
4,21.016533,3607,2024-01-22 20:42:58,52.221943,9,1
1,20.999027,3609,2024-01-22 17:17:13,52.187286,031,1
18,21.023426,3610,2024-01-22 20:42:55,52.20232,4,1
18,21.000065,3611,2024-01-22 20:12:11,52.187214,9,1
25,21.001572,3612,2024-01-22 20:42:55,52.22766,9,1
35,20.9998,3613,2024-01-19 09:04:15,52.187805,10,1
24,20.956482,3617,2024-01-22 20:43:00,52.2474,7,1
2,20.95053,3618,2024-01-22 20:43:01,52.34143,09,1
2,20.933056,3619,2024-01-22 14:25:37,52.299763,08,1
2,20.931074,3620,2024-01-22 18:48:58,52.2991,011,1
4,20.999203,3621,2024-01-22 20:20:04,52.187714,4,1
4,21.015991,3622,2024-01-22 20:42:56,52.168087,6,1
35,21.013264,3623,2024-01-22 20:42:58,52.227253,10,1
33,21.000702,3624,2024-01-22 20:42:58,52.188034,12,1
2,20.930904,3626,2024-01-22 18:12:30,52.2997,010,1
2,20.93158,3627,2024-01-22 19:01:43,52.300434,1,1
24,21.109362,3629,2024-01-22 20:42:52,52.241005,9,1
2,20.929398,3630,2024-01-22 20:03:17,52.300087,09,1
2,20.932112,3631,2024-01-22 18:34:16,52.298008,09,1
24,21.118774,3632,2024-01-22 20:42:59,52.23822,10,1
24,21.089096,3633,2024-01-22 20:43:00,52.245037,1,1
24,20.931509,3634,2024-01-22 18:26:49,52.299564,9,1
4,21.000814,3635,2024-01-22 20:42:55,52.186382,7,1
26,20.973087,3637,2024-01-22 13:05:12,52.233036,08,1
26,20.97252,3638,2024-01-22 16:16:04,52.23275,6,1
26,20.95397,3639,2024-01-22 20:42:58,52.230453,09,1
26,20.973154,3640,2024-01-22 18:20:23,52.23333,08,1
26,21.04747,3642,2024-01-22 20:42:54,52.247826,2,1
26,20.978834,3643,2024-01-22 20:42:55,52.23637,7,1
26,21.025866,3644,2024-01-22 20:42:55,52.25097,1,1
26,20.972916,3646,2024-01-22 20:43:00,52.232086,6,1
26,21.084942,3647,2024-01-22 20:43:02,52.244667,3,1
26,20.973146,3648,2024-01-22 20:42:58,52.23392,5,1
26,21.048079,3650,2024-01-22 20:43:00,52.247612,4,1
73,21.055271,3801,2024-01-22 20:43:01,52.257084,08,1
6,20.972992,3802,2024-01-22 16:10:20,52.23254,6,1
6,21.092993,3803,2024-01-22 20:42:57,52.244473,8,1
6,21.053993,3804,2024-01-22 19:53:14,52.255787,3,1
6,21.117176,3805,2024-01-22 20:43:01,52.238808,9,1
20,20.973263,3806,2024-01-22 20:42:59,52.232555,011,1
73,20.973108,3807,2024-01-22 20:42:57,52.271976,7,1
20,20.943937,3808,2024-01-22 20:43:01,52.246883,9,1
